date,areaType,areaCode,areaName,newCasesByPublishDate
"2021-03-11",nation,N92000002,Northern Ireland,223
"2021-03-10",nation,N92000002,Northern Ireland,147
"2021-03-09",nation,N92000002,Northern Ireland,240
"2021-03-08",nation,N92000002,Northern Ireland,144
"2021-03-07",nation,N92000002,Northern Ireland,138
"2021-03-06",nation,N92000002,Northern Ireland,172
"2021-03-05",nation,N92000002,Northern Ireland,166
"2021-03-04",nation,N92000002,Northern Ireland,163
"2021-03-03",nation,N92000002,Northern Ireland,226
"2021-03-02",nation,N92000002,Northern Ireland,149
"2021-03-01",nation,N92000002,Northern Ireland,138
"2021-02-28",nation,N92000002,Northern Ireland,136
"2021-02-27",nation,N92000002,Northern Ireland,184
"2021-02-26",nation,N92000002,Northern Ireland,241
"2021-02-25",nation,N92000002,Northern Ireland,281
"2021-02-24",nation,N92000002,Northern Ireland,260
"2021-02-23",nation,N92000002,Northern Ireland,225
"2021-02-22",nation,N92000002,Northern Ireland,187
"2021-02-21",nation,N92000002,Northern Ireland,263
"2021-02-20",nation,N92000002,Northern Ireland,276
"2021-02-19",nation,N92000002,Northern Ireland,313
"2021-02-18",nation,N92000002,Northern Ireland,342
"2021-02-17",nation,N92000002,Northern Ireland,297
"2021-02-16",nation,N92000002,Northern Ireland,341
"2021-02-15",nation,N92000002,Northern Ireland,234
"2021-02-14",nation,N92000002,Northern Ireland,176
"2021-02-13",nation,N92000002,Northern Ireland,303
"2021-02-12",nation,N92000002,Northern Ireland,407
"2021-02-11",nation,N92000002,Northern Ireland,253
"2021-02-10",nation,N92000002,Northern Ireland,336
"2021-02-09",nation,N92000002,Northern Ireland,275
"2021-02-08",nation,N92000002,Northern Ireland,296
"2021-02-07",nation,N92000002,Northern Ireland,334
"2021-02-06",nation,N92000002,Northern Ireland,390
"2021-02-05",nation,N92000002,Northern Ireland,506
"2021-02-04",nation,N92000002,Northern Ireland,412
"2021-02-03",nation,N92000002,Northern Ireland,504
"2021-02-02",nation,N92000002,Northern Ireland,447
"2021-02-01",nation,N92000002,Northern Ireland,314
"2021-01-31",nation,N92000002,Northern Ireland,426
"2021-01-30",nation,N92000002,Northern Ireland,455
"2021-01-29",nation,N92000002,Northern Ireland,669
"2021-01-28",nation,N92000002,Northern Ireland,592
"2021-01-27",nation,N92000002,Northern Ireland,527
"2021-01-26",nation,N92000002,Northern Ireland,550
"2021-01-25",nation,N92000002,Northern Ireland,422
"2021-01-24",nation,N92000002,Northern Ireland,433
