date,areaType,areaCode,areaName,newCasesByPublishDate
"2021-03-11",nation,S92000003,Scotland,591
"2021-03-10",nation,S92000003,Scotland,691
"2021-03-09",nation,S92000003,Scotland,466
"2021-03-08",nation,S92000003,Scotland,501
"2021-03-07",nation,S92000003,Scotland,390
"2021-03-06",nation,S92000003,Scotland,555
"2021-03-05",nation,S92000003,Scotland,498
"2021-03-04",nation,S92000003,Scotland,500
"2021-03-03",nation,S92000003,Scotland,543
"2021-03-02",nation,S92000003,Scotland,542
"2021-03-01",nation,S92000003,Scotland,386
"2021-02-28",nation,S92000003,Scotland,572
"2021-02-27",nation,S92000003,Scotland,525
"2021-02-26",nation,S92000003,Scotland,581
"2021-02-25",nation,S92000003,Scotland,769
"2021-02-24",nation,S92000003,Scotland,798
"2021-02-23",nation,S92000003,Scotland,655
"2021-02-22",nation,S92000003,Scotland,715
"2021-02-21",nation,S92000003,Scotland,827
"2021-02-20",nation,S92000003,Scotland,803
"2021-02-19",nation,S92000003,Scotland,885
"2021-02-18",nation,S92000003,Scotland,685
"2021-02-17",nation,S92000003,Scotland,1121
"2021-02-16",nation,S92000003,Scotland,773
"2021-02-15",nation,S92000003,Scotland,559
"2021-02-14",nation,S92000003,Scotland,903
"2021-02-13",nation,S92000003,Scotland,908
"2021-02-12",nation,S92000003,Scotland,830
"2021-02-11",nation,S92000003,Scotland,830
"2021-02-10",nation,S92000003,Scotland,803
"2021-02-09",nation,S92000003,Scotland,822
"2021-02-08",nation,S92000003,Scotland,928
"2021-02-07",nation,S92000003,Scotland,584
"2021-02-06",nation,S92000003,Scotland,895
"2021-02-05",nation,S92000003,Scotland,895
"2021-02-04",nation,S92000003,Scotland,1149
"2021-02-03",nation,S92000003,Scotland,978
"2021-02-02",nation,S92000003,Scotland,758
"2021-02-01",nation,S92000003,Scotland,848
"2021-01-31",nation,S92000003,Scotland,1003
"2021-01-30",nation,S92000003,Scotland,994
"2021-01-29",nation,S92000003,Scotland,1155
"2021-01-28",nation,S92000003,Scotland,1201
"2021-01-27",nation,S92000003,Scotland,1330
"2021-01-26",nation,S92000003,Scotland,1049
"2021-01-25",nation,S92000003,Scotland,752
"2021-01-24",nation,S92000003,Scotland,1195
"2021-01-23",nation,S92000003,Scotland,1307
"2021-01-22",nation,S92000003,Scotland,1480
"2021-01-21",nation,S92000003,Scotland,1636
"2021-01-20",nation,S92000003,Scotland,1656
"2021-01-19",nation,S92000003,Scotland,1165
"2021-01-18",nation,S92000003,Scotland,1429
"2021-01-17",nation,S92000003,Scotland,1341
