date,areaType,areaCode,areaName,newCasesByPublishDate
"2021-03-11",nation,W92000004,Wales,195
"2021-03-10",nation,W92000004,Wales,225
"2021-03-09",nation,W92000004,Wales,166
"2021-03-08",nation,W92000004,Wales,164
"2021-03-07",nation,W92000004,Wales,152
"2021-03-06",nation,W92000004,Wales,195
"2021-03-05",nation,W92000004,Wales,230
"2021-03-04",nation,W92000004,Wales,267
"2021-03-03",nation,W92000004,Wales,208
"2021-03-02",nation,W92000004,Wales,170
"2021-03-01",nation,W92000004,Wales,193
"2021-02-28",nation,W92000004,Wales,247
"2021-02-27",nation,W92000004,Wales,198
"2021-02-26",nation,W92000004,Wales,308
"2021-02-25",nation,W92000004,Wales,312
"2021-02-24",nation,W92000004,Wales,236
"2021-02-23",nation,W92000004,Wales,317
"2021-02-22",nation,W92000004,Wales,319
"2021-02-21",nation,W92000004,Wales,336
"2021-02-20",nation,W92000004,Wales,363
"2021-02-19",nation,W92000004,Wales,533
"2021-02-18",nation,W92000004,Wales,290
"2021-02-17",nation,W92000004,Wales,374
"2021-02-16",nation,W92000004,Wales,275
"2021-02-15",nation,W92000004,Wales,363
"2021-02-14",nation,W92000004,Wales,394
"2021-02-13",nation,W92000004,Wales,400
"2021-02-12",nation,W92000004,Wales,608
"2021-02-11",nation,W92000004,Wales,410
"2021-02-10",nation,W92000004,Wales,323
"2021-02-09",nation,W92000004,Wales,351
"2021-02-08",nation,W92000004,Wales,610
"2021-02-07",nation,W92000004,Wales,461
"2021-02-06",nation,W92000004,Wales,675
"2021-02-05",nation,W92000004,Wales,399
"2021-02-04",nation,W92000004,Wales,544
"2021-02-03",nation,W92000004,Wales,455
"2021-02-02",nation,W92000004,Wales,614
"2021-02-01",nation,W92000004,Wales,630
"2021-01-31",nation,W92000004,Wales,605
"2021-01-30",nation,W92000004,Wales,737
"2021-01-29",nation,W92000004,Wales,546
"2021-01-28",nation,W92000004,Wales,705
"2021-01-27",nation,W92000004,Wales,537
"2021-01-26",nation,W92000004,Wales,570
"2021-01-25",nation,W92000004,Wales,872
"2021-01-24",nation,W92000004,Wales,796
"2021-01-23",nation,W92000004,Wales,1079
"2021-01-22",nation,W92000004,Wales,801
"2021-01-21",nation,W92000004,Wales,1153
"2021-01-20",nation,W92000004,Wales,1283
"2021-01-19",nation,W92000004,Wales,1106
"2021-01-18",nation,W92000004,Wales,1332
"2021-01-17",nation,W92000004,Wales,1172
"2021-01-16",nation,W92000004,Wales,1129
"2021-01-15",nation,W92000004,Wales,1808
"2021-01-14",nation,W92000004,Wales,1644
"2021-01-13",nation,W92000004,Wales,1533
"2021-01-12",nation,W92000004,Wales,1332
"2021-01-11",nation,W92000004,Wales,1793
"2021-01-10",nation,W92000004,Wales,1660
"2021-01-09",nation,W92000004,Wales,2373
"2021-01-08",nation,W92000004,Wales,2487
"2021-01-07",nation,W92000004,Wales,1718
"2021-01-06",nation,W92000004,Wales,2238
"2021-01-05",nation,W92000004,Wales,2069
"2021-01-04",nation,W92000004,Wales,1898
"2021-01-03",nation,W92000004,Wales,4011
"2021-01-02",nation,W92000004,Wales,2764
"2021-01-01",nation,W92000004,Wales,0
"2020-12-31",nation,W92000004,Wales,1831
"2020-12-30",nation,W92000004,Wales,2281
"2020-12-29",nation,W92000004,Wales,2510
"2020-12-28",nation,W92000004,Wales,2273
"2020-12-27",nation,W92000004,Wales,4142
"2020-12-26",nation,W92000004,Wales,2237
"2020-12-25",nation,W92000004,Wales,0
"2020-12-24",nation,W92000004,Wales,2161
"2020-12-23",nation,W92000004,Wales,3013
"2020-12-22",nation,W92000004,Wales,2761
"2020-12-21",nation,W92000004,Wales,2563
"2020-12-20",nation,W92000004,Wales,2334
"2020-12-19",nation,W92000004,Wales,3065
"2020-12-18",nation,W92000004,Wales,2801
"2020-12-17",nation,W92000004,Wales,11468
"2020-12-16",nation,W92000004,Wales,530
"2020-12-15",nation,W92000004,Wales,615
"2020-12-14",nation,W92000004,Wales,1228
"2020-12-13",nation,W92000004,Wales,0
"2020-12-12",nation,W92000004,Wales,2494
"2020-12-11",nation,W92000004,Wales,2234
"2020-12-10",nation,W92000004,Wales,1968
"2020-12-09",nation,W92000004,Wales,2238
"2020-12-08",nation,W92000004,Wales,780
"2020-12-07",nation,W92000004,Wales,2021
"2020-12-06",nation,W92000004,Wales,1916
"2020-12-05",nation,W92000004,Wales,1645
"2020-12-04",nation,W92000004,Wales,1471
"2020-12-03",nation,W92000004,Wales,1473
"2020-12-02",nation,W92000004,Wales,1480
"2020-12-01",nation,W92000004,Wales,667
"2020-11-30",nation,W92000004,Wales,802
"2020-11-29",nation,W92000004,Wales,1004
